(u'2003-10', 0.07281682641107556)
(u'2011-09', 0.0814355796540149)
(u'2002-08', 0.011106125196320397)
(u'1997-03', 0.013523719612933695)
(u'2011-02', 0.04075921307841502)
(u'2014-06', 0.10947004188672389)
(u'1997-08', 0.035166666666666666)
(u'2011-07', 0.12893366538374476)
(u'1998-03', 0.04614337568058071)
(u'2008-06', 0.060243217960710874)
(u'2010-07', 0.12447238437359666)
(u'2012-02', 0.04200244200244193)
(u'2012-11', 0.096441114493093)
(u'2002-05', 0.09774164408310759)
(u'1999-08', 0.07484634646027756)
(u'1994-09', 0.13611510791366893)
(u'1995-10', 0.028300180831826435)
(u'2000-04', 0.051592962434617154)
(u'1993-05', 0.02851351351351352)
(u'2000-09', 0.03919753086419752)
(u'1997-10', 0.07897238569488448)
(u'2007-07', 0.12959711906369598)
(u'2005-03', 0.03786982248520706)
(u'2009-04', 0.003909704444961603)
(u'2005-06', 0.09528037383177561)
(u'2005-09', 0.019451545433418548)
(u'1994-06', 0.06442857142857146)
(u'2015-07', 0.16872675757039182)
(u'2003-07', 0.15532740132329478)
(u'2001-04', 0.06444392632315216)
(u'1996-07', 0.11752913752913757)
(u'2001-09', 0.15447986967651883)
(u'2003-02', 0.01366475143642269)
(u'2014-11', 0.07664473684210539)
(u'2003-09', 0.013993174061433453)
(u'2011-10', 0.061518631356925244)
(u'2002-10', 0.08236895847515305)
(u'1998-09', 0.07956136257582819)
(u'2006-11', 0.09969879518072292)
(u'1994-03', 0.0516483516483517)
(u'2012-05', 0.03137522768670308)
(u'2006-06', 0.04351269508502209)
(u'1995-02', 0.048623853211009184)
(u'1994-10', 0.04486486486486488)
(u'1999-11', 0.025918988527276993)
(u'2008-12', 0.05884077582318429)
(u'1997-06', 0.1218822979915928)
(u'2005-10', 0.05137263726372631)
(u'2004-07', 0.12917694550347622)
(u'2016-03', 0.028538241601143627)
(u'1995-07', 0.05860215053763441)
(u'2008-01', 0.06058836739276881)
(u'1999-02', 0.03749999999999992)
(u'1995-08', 0.022077028885832194)
(u'2004-09', 0.05194321619734689)
(u'1998-04', 0.06202001396323008)
(u'2003-12', 0.07225046210720877)
(u'1997-04', 0.036523574947220215)
(u'1996-12', 0.05648655082123294)
(u'1999-12', 0.08985704560925815)
(u'2014-09', 0.07054969057153256)
(u'1997-01', 0.007906128958760548)
(u'2014-04', 0.045907859078590664)
(u'2011-01', 0.04752028854824153)
(u'2001-12', 0.04816335843029875)
(u'1999-04', 0.07886746987951795)
(u'2010-05', 0.09173685408604598)
(u'2013-09', 0.03793915248098511)
(u'2002-07', 0.1097455701953658)
(u'2015-11', 0.09301182893539593)
(u'2010-08', 0.14647537279710815)
(u'2013-06', 0.08853997473380264)
(u'2013-03', 0.01034120734908138)
(u'2000-02', 0.035169388252498164)
(u'2000-07', 0.18489453390791602)
(u'2001-01', 0.0499428571428571)
(u'1998-01', 0.059806567701304436)
(u'2007-05', 0.05460467205750214)
(u'2009-06', 0.06945801349150961)
(u'1993-10', 0.058142664872139975)
(u'1999-01', 0.08358074673864148)
(u'2004-11', 0.07631578947368416)
(u'2008-04', 0.029004535688708515)
(u'1994-01', 0.04062499999999999)
(u'1994-04', 0.032719546742209636)
(u'2003-05', 0.09546722454672253)
(u'1996-01', 0.015458817709621587)
(u'2015-02', 0.038925911407291104)
(u'1997-12', 0.0941176470588237)
(u'1996-04', 0.011674273360557291)
(u'2001-06', 0.03742717315311113)
(u'2015-08', 0.03825301204819276)
(u'2012-09', 0.10160614525139676)
(u'2014-03', 0.05113636363636355)
(u'2009-12', 0.07193808882907111)
(u'2012-07', 0.07989179440937781)
(u'2010-10', 0.07158755394049507)
(u'2013-10', 0.07524441340782134)
(u'2000-11', 0.1509306654257797)
(u'1994-12', 0.07020689655172416)
(u'2006-05', 0.07038780542479252)
(u'2006-12', 0.040080880700966055)
(u'2009-01', 0.021449471078100347)
(u'2004-05', 0.05336021505376335)
(u'2016-05', 0.04157043879907614)
(u'1995-01', 0.03714285714285716)
(u'2004-02', 0.04030950626381719)
(u'1993-08', 0.11414427157001421)
(u'1997-05', 0.08432732316227472)
(u'2011-08', 0.11670800450958287)
(u'2014-08', 0.1299874753981037)
(u'1997-02', 0.053945699061151896)
(u'2014-07', 0.03264690218356114)
(u'2011-06', 0.1295454545454546)
(u'2014-02', 0.06739256118712665)
(u'2010-01', 0.04857142857142847)
(u'1998-05', 0.05212862318840574)
(u'1999-05', 0.03712155445097149)
(u'2010-04', 0.0346611610395919)
(u'1998-12', 0.07990580847723715)
(u'2012-10', 0.08854635463546365)
(u'2015-10', 0.00320183973111622)
(u'2002-04', 0.045512170385395505)
(u'2013-07', 0.07653866386112576)
(u'2002-01', 0.07513661202185784)
(u'2000-03', 0.029268841394825613)
(u'1997-11', 0.09007686932215248)
(u'1995-06', 0.1365168539325841)
(u'2000-08', 0.07393844079982023)
(u'2007-04', 0.02971335353064553)
(u'2009-05', 0.07300089847259658)
(u'2005-07', 0.1403182429403857)
(u'2004-10', 0.10622735507246378)
(u'1995-11', 0.05414049114791547)
(u'2001-05', 0.04605827874407043)
(u'1994-07', 0.0)
(u'2015-06', 0.1152353048892148)
(u'2003-04', 0.07482415716711127)
(u'2015-03', 0.059807017543859586)
(u'2003-03', 0.009536973047684872)
(u'2014-10', 0.1020152024041014)
(u'2011-11', 0.018764514630747797)
(u'2015-09', 0.14667873303167472)
(u'2002-11', 0.07552168815943718)
(u'2012-08', 0.09249551971326173)
(u'2007-12', 0.07355445988346024)
(u'2008-05', 0.03128239801667791)
