(u'1979-09', 0.164859951096334)
(u'1970-06', 1.863792832895534)
(u'2001-02', 0.04847194359752427)
(u'1962-01', 2.2768595258916005)
(u'2011-07', 0.7231436771980242)
(u'1954-08', -0.8369052557010654)
(u'1988-12', -0.45015262345343676)
(u'1973-10', -2.659579492777805)
(u'1983-04', 0.3711161380606587)
(u'1956-02', -5.067889397290681)
(u'1963-06', -0.20666921747555023)
(u'2001-11', 0.15787527002179225)
(u'2002-03', 2.66688805950028)
(u'1986-03', 1.3741795213836183)
(u'1989-06', -0.23923035365965895)
(u'1973-07', 2.407369907460758)
(u'1959-10', 0.6900087417856309)
(u'1960-10', -1.2409885627965762)
(u'1991-03', 3.1376801627265025)
(u'1953-09', -0.2084437964381909)
(u'1990-08', 0.6506402556487973)
(u'1980-09', 0.9159499377618978)
(u'1959-07', 2.723393715614975)
(u'1994-04', 1.8984690088572211)
(u'1960-07', -0.8626628733282082)
(u'1988-01', 3.7775247709769175)
(u'1950-04', 1.5325254517861557)
(u'1992-02', 4.7054018873552055)
(u'1987-08', -2.7413994881766524)
(u'2003-08', 0.2687321894943775)
(u'2012-06', -2.9226450238955266)
(u'1997-09', 0.8277530640724198)
(u'2007-04', 2.8229700612937956)
(u'2008-05', 1.1138697636585881)
(u'1992-11', -0.03662109713614159)
(u'2013-01', -0.5499761912827572)
(u'2013-12', 4.279600592841366)
(u'1985-02', -7.370882344901505)
(u'1971-12', 3.1540745176040517)
(u'1975-05', 0.9639926057938588)
(u'1969-04', -0.1600375327099739)
(u'1956-11', -3.2452040747790507)
(u'1955-03', -2.382988469245098)
(u'1985-11', -2.261586236728702)
(u'1971-01', 2.0677908768292244)
(u'1962-12', -2.35760973485661)
(u'1966-05', 0.2748889704617934)
(u'2004-09', 0.5788692175918069)
(u'2011-10', 0.489135457842119)
(u'2014-04', 2.353292318384751)
(u'1977-10', 1.2100038769816992)
(u'1991-07', 1.4221014589839065)
(u'1962-05', -1.9402639750779844)
(u'1960-03', 0.3750735444987392)
(u'1973-03', 4.165262845968528)
(u'1970-11', -1.5981899962947903)
(u'1971-05', 1.401483118998888)
(u'1986-07', 0.13306346488340282)
(u'1956-06', -0.7704539871973797)
(u'1965-04', 0.39210125499899995)
(u'1963-11', 0.8139805463408605)
(u'2011-03', 1.0838447067406483)
(u'1984-09', -1.2523776534334363)
(u'2013-05', 1.5805891093622453)
(u'1999-10', 0.16709239431319745)
(u'1959-03', 3.1616120060372026)
(u'1970-02', -6.892443345270637)
(u'2010-08', 0.0070238166291751725)
(u'1975-12', 3.1397179221819425)
(u'1988-05', 1.8325846608502943)
(u'1989-02', 7.062748788828813)
(u'2001-06', -1.5706238118494156)
(u'2008-12', 1.621713377263226)
(u'1992-06', 1.6590123623284327)
(u'1993-09', -3.0547584048331142)
(u'2012-02', 0.33632024381285763)
(u'1955-07', 3.532432679871146)
(u'1976-04', 0.0662072260929305)
(u'2008-01', 4.917174991284677)
(u'2002-07', 0.7374680730486354)
(u'2000-09', -1.0712726489528137)
(u'1985-06', -1.3447209655119128)
(u'2012-11', 1.6440283493002648)
(u'1963-02', -3.778841420389217)
(u'1958-08', -0.8926218449548244)
(u'1975-01', 5.13871828105433)
(u'1966-12', 0.3292890966521851)
(u'1989-11', -0.06256984125603626)
(u'1964-10', -0.46584626747777413)
(u'1966-01', -3.702126602540624)
(u'1972-08', -0.2888742193940086)
(u'1957-09', -1.7081139082251475)
(u'1998-04', -1.055086844039618)
(u'1961-08', -0.929724614318852)
(u'1993-10', -1.2473906219952706)
(u'1974-04', 1.8353698395412552)
(u'1957-03', -0.2882635327886146)
(u'1964-05', 1.7006981335959477)
(u'1984-03', -0.5202518862433577)
(u'1990-06', -0.1874180890574948)
(u'1997-07', 0.9721547051693307)
(u'1955-12', -1.41729081030117)
(u'1959-09', 1.0532823844923165)
(u'2010-02', -1.6717681687735273)
(u'1960-09', 0.3103870227194747)
(u'2011-09', 1.4292192829012063)
(u'2006-01', -0.7331742130386552)
(u'1990-11', -0.3811340863828474)
(u'1967-04', 0.21611731925603106)
(u'2002-12', -2.9699479854251907)
(u'2000-10', 2.796853204790053)
(u'1987-06', -3.324735589034825)
(u'1980-07', 0.42985886146176355)
(u'2000-03', 1.8241266683411923)
(u'1968-01', -2.9403147640388245)
(u'1972-02', 2.6144212482206264)
(u'1987-11', -0.11147035902258828)
(u'2009-04', 2.9992449767766143)
(u'1957-10', 0.9576637283085452)
(u'1958-02', -3.0493137924040554)
(u'1999-05', -1.3391049633778884)
(u'1995-01', 0.4162326082846084)
(u'1951-01', 0.04839102686673202)
(u'1989-08', -0.9337086340572043)
(u'1954-06', -1.134707380862574)
(u'1961-02', 5.24163413344124)
(u'2012-08', -0.4391165212722825)
(u'1979-07', -1.672752924552455)
(u'1970-08', -0.05637926387069392)
(u'1953-07', 0.2934976517493624)
(u'1982-01', -4.258137857200056)
(u'1954-11', -0.5925172171339437)
(u'2003-06', -0.6226467641944158)
(u'1986-12', 0.45772594574932646)
(u'1991-12', 2.5687446885773286)
(u'1993-03', 2.158255881824333)
(u'1963-08', -0.2174773086521551)
(u'2003-11', 1.6595042499228585)
(u'2004-07', -1.7136118634932451)
(u'1984-10', 2.0129354980073844)
(u'1973-09', -0.67354160961502)
(u'1977-05', 0.1267763903466541)
(u'1992-09', -0.4017822766927104)
(u'1981-05', 1.7971482914496608)
(u'2002-08', 3.432384143567381)
